,,,,,,Gene summary,,
GO-term Biological Process,N, Enrich,P-value,,,,,
ethanol oxidation (GO:0006069),8,24.3,2.03E-04,,,GO-terms,total,genes
transcription-coupled nucleotide-excision repair (GO:0006283),12,6.0,2.27E-02,,,5681 6283 6397,2,PRPF19
endoplasmic reticulum to Golgi vesicle-mediated transport (GO:0006888),21,3.7,8.55E-03,,,,,XAB2
Golgi vesicle transport (GO:0048193),32,3.2,2.86E-04,,,4022 6069,7,ADH5
mRNA processing (GO:0006397),32,2.5,4.66E-02,,,,,ADH4
heart development (GO:0007507),34,2.4,4.53E-02,,,,,ADH1A
mRNA metabolic process (GO:0016071),42,2.3,2.04E-02,,,,,ADH7
cellular component morphogenesis (GO:0032989),49,2.3,2.71E-03,,,,,ADH1C
RNA processing (GO:0006396),51,2.2,3.81E-03,,,,,ADH1B
protein-containing complex subunit organization (GO:0043933),100,2.0,8.95E-07,,,,,ADH6
chromosome organization (GO:0051276),56,2.0,2.14E-02,,,5681 6397,17,SNRNP200
protein transport (GO:0015031),81,2.0,1.26E-04,,,,,MAGOH
protein-containing complex assembly (GO:0065003),83,2.0,1.31E-04,,,,,RBM28
,,,,,,,,SNRPE
,,,,,,,,SNRNP40
GO-term Molecular Function,N,Enrich ,P-value,,,,,PPP1R8
alcohol dehydrogenase (NAD) activity (GO:0004022),7,28.4,2.40E-04,,,,,HNRNPH1
transcription factor binding (GO:0008134),40,2.2,2.27E-02,,,,,CWC27
,,,,,,,,DHX8
,,,,,,,,SF3A1
GO-term Cellular Compartment,N,Enrich,P-value,,,,,CDC40
catalytic step 2 spliceosome (GO:0071013),14,5.9,6.88E-04,,,,,SNRPB
spliceosomal complex (GO:0005681),19,3.8,2.69E-03,,,,,SF3B5
actin cytoskeleton (GO:0015629),34,2.5,4.35E-03,,,,,GPATCH1
catalytic complex (GO:1902494),86,2.3,9.45E-09,,,,,SF3A2
transferase complex (GO:1990234),46,2.1,6.94E-03,,,,,SNRPA
chromosomal part (GO:0044427),51,2.1,3.93E-03,,,,,SNRPC
chromosome (GO:0005694),57,2.0,2.13E-03,,,15629 48193,2,CAPZA2
ribonucleoprotein complex (GO:1990904),48,2.0,1.22E-02,,,,,CAPZA1
,,,,,,15629 6397,1,DHX9
,,,,,,6283 6397,3,CDK7
,,,,,,,,ERCC2
,,,,,,,,CCNH
,,,,,,15629,31,IQGAP1
,,,,,,,,ARPC5
,,,,,,,,PKD2
,,,,,,,,LLGL2
,,,,,,,,CIB2
,,,,,,,,KLHL2
,,,,,,,,ILK
,,,,,,,,TEK
,,,,,,,,PARVA
,,,,,,,,CLIC5
,,,,,,,,CLIC4
,,,,,,,,MYBPC3
,,,,,,,,ADAM8
,,,,,,,,NEB
,,,,,,,,PGM5
,,,,,,,,PARVB
,,,,,,,,VPS11
,,,,,,,,MYBPC1
,,,,,,,,TTC17
,,,,,,,,IPP
,,,,,,,,TOPBP1
,,,,,,,,COBL
,,,,,,,,CTTNBP2
,,,,,,,,GABARAP
,,,,,,,,MAEA
,,,,,,,,MYLK
,,,,,,,,MYOM3
,,,,,,,,PGM1
,,,,,,,,TMEM63B
,,,,,,,,SEPT7
,,,,,,,,MYOM2
,,,,,,6069,1,ACSS2
,,,,,,6283,7,RFC5
,,,,,,,,CUL4B
,,,,,,,,GPS1
,,,,,,,,TCEA1
,,,,,,,,LIG3
,,,,,,,,COPS7A
,,,,,,,,POLD1
,,,,,,48193,29,ERGIC1
,,,,,,,,LMAN2L
,,,,,,,,DOPEY1
,,,,,,,,COPA
,,,,,,,,GRIA1
,,,,,,,,PITPNB
,,,,,,,,AP2A1
,,,,,,,,RAB1A
,,,,,,,,KIF5A
,,,,,,,,TRAPPC3L
,,,,,,,,ARFGAP1
,,,,,,,,CNIH1
,,,,,,,,VTI1A
,,,,,,,,CNIH4
,,,,,,,,COPZ1
,,,,,,,,TRIM23
,,,,,,,,GGA3
,,,,,,,,BET1
,,,,,,,,RAB6A
,,,,,,,,PGAP1
,,,,,,,,TMED10
,,,,,,,,BCAP29
,,,,,,,,SNX1
,,,,,,,,TRAPPC12
,,,,,,,,SORL1
,,,,,,,,BET1L
,,,,,,,,EXOC6
,,,,,,,,KIFAP3
,,,,,,,,TRAPPC6A
,,,,,,6397,9,FAM172A
,,,,,,,,SLBP
,,,,,,,,CLASRP
,,,,,,,,THOC3
,,,,,,,,U2SURP
,,,,,,,,APP
,,,,,,,,CPSF4
,,,,,,,,AHCYL1
,,,,,,,,TSEN2
