,,,,,,#GO term overlap data,,
GO biological process complete,N,Enrich,P-value,,,GO terms,Number,Genes
regulation of G1/S transition of mitotic cell cycle (GO:2000045),9,8.02,2.69E-02,,,16032 16570 1902494 1990234 2000045 51276 6325 70647 9057,1,CDK1
histone modification (GO:0016570),14,4.8,1.82E-02,,,16032 1902494 1990234 2000045 3712 51276 6325 785 8134,1,RB1
chromatin organization (GO:0006325),22,4.03,3.85E-04,,,16570 1902494 1990234 2000045 51276 6325 70647 9057,1,CUL4B
viral process (GO:0016032),18,3.71,2.16E-02,,,16570 1902494 1990234 3712 51276 6325 70647,1,ATXN7L3
chromosome organization (GO:0051276),30,3.68,7.56E-06,,,16570 1902494 1990234 51276 6325 70647 785,1,CBX8
protein modification by small protein conjugation or removal (GO:0070647),24,3.27,3.84E-03,,,16570 1902494 1990234 51276 6325 785 8134,1,HDAC2
macromolecule catabolic process (GO:0009057),24,3.01,1.57E-02,,,16570 1902494 1990234 2000045 51276 6325,1,PRMT1
protein localization (GO:0008104),40,2.4,1.56E-03,,,16570 1902494 3712 51276 6325 9057,1,TBL1XR1
protein-containing complex subunit organization (GO:0043933),34,2.38,2.03E-02,,,16570 1902494 1990234 51276 6325 9057,1,CDK5
macromolecule localization (GO:0033036),42,2.18,1.05E-02,,,1902494 3712 51276 6325 785 8134,1,SMARCE1
nucleic acid metabolic process (GO:0090304),39,2.14,4.19E-02,,,16032 1902494 3712 51276 785 8134,1,DHX9
cellular protein modification process (GO:0006464),49,2.03,7.05E-03,,,16570 2000045 51276 6325 785,1,KMT2E
,,,,,,16570 51276 6325 70647 9057,1,USP15
,,,,,,16570 3712 51276 6325 8134,1,MIER1
GO molecular function complete,N,Enrich,P-value,,,16570 1902494 51276 6325 8134,1,HDAC8
transcription coregulator activity (GO:0003712),16,3.58,3.98E-02,,,16570 1902494 51276 6325 785,1,CHD5
transcription factor binding (GO:0008134),18,3.43,1.98E-02,,,2000045 51276 6325 785 8134,1,RBL2
,,,,,,1902494 3712 51276 6325 785,1,SMARCD2
,,,,,,16032 3712 51276 6325,1,ZMYND11
GO cellular component complete,N, Enrich,P-value,,,1902494 51276 6325 785,1,PBRM1
catalytic step 2 spliceosome (GO:0071013),7,10.18,1.32E-02,,,16032 1902494 1990234 51276,1,RAE1
chromatin (GO:0000785),16,3.8,9.83E-03,,,2000045 3712 8134 9057,1,CNOT7
catalytic complex (GO:1902494),39,3.54,6.72E-09,,,16032 1902494 70647 9057,1,UBE3A
transferase complex (GO:1990234),20,3.19,8.67E-03,,,1902494 70647 71013 9057,1,PRPF19
nucleoplasm part (GO:0044451),26,2.94,1.40E-03,,,1902494 1990234 70647 9057,2,RMND5A
chromosome (GO:0005694),22,2.69,3.96E-02,,,,,ARIH2
nucleoplasm (GO:0005654),73,2.65,2.72E-13,,,1902494 3712 785 8134,1,PHF12
nuclear lumen (GO:0031981),79,2.44,9.19E-13,,,16570 51276 6325,1,EYA3
protein-containing complex (GO:0032991),98,2.3,2.53E-16,,,16032 51276 6325,1,UBN1
nuclear part (GO:0044428),79,2.22,1.83E-10,,,16032 51276 70647,1,COPS7A
organelle lumen (GO:0043233),87,2.1,7.51E-11,,,1902494 2000045 70647,1,PSME3
intracellular organelle lumen (GO:0070013),87,2.1,7.51E-11,,,16032 1902494 1990234,1,MAP3K5
membrane-enclosed lumen (GO:0031974),87,2.1,7.51E-11,,,1902494 70647 9057,1,UBE3C
,,,,,,1902494 1990234 70647,2,KLHL2
,,,,,,,,SENP3
,,,,,,1902494 1990234 9057,1,ARMC8
,,,,,,51276 6325,1,ARID2
,,,,,,16032 51276,1,XRCC6
,,,,,,51276 70647,1,GPS1
,,,,,,51276 785,3,STAG1
,,,,,,,,PDS5B
,,,,,,,,PDS5A
,,,,,,16032 9057,3,KPNA1
,,,,,,,,AP2A1
,,,,,,,,AP2S1
,,,,,,16032 8134,1,NFIA
,,,,,,70647 9057,3,HERC2
,,,,,,,,USP46
,,,,,,,,USP19
,,,,,,3712 8134,4,ARNT
,,,,,,,,SUFU
,,,,,,,,ZEB1
,,,,,,,,KCTD1
,,,,,,1902494 71013,6,SNRNP200
,,,,,,,,HNRNPH1
,,,,,,,,XAB2
,,,,,,,,DHX8
,,,,,,,,SF3A1
,,,,,,,,CDC40
,,,,,,1902494 1990234,5,REV3L
,,,,,,,,TEX10
,,,,,,,,ZSWIM8
,,,,,,,,DLST
,,,,,,,,DEPDC5
,,,,,,2000045,1,PKD2
,,,,,,16032,4,IRAK1
,,,,,,,,AP1B1
,,,,,,,,TSC2
,,,,,,,,ABI2
,,,,,,70647,6,MYCBP2
,,,,,,,,UBE2F
,,,,,,,,RNF220
,,,,,,,,KLHL10
,,,,,,,,DTX3
,,,,,,,,SENP5
,,,,,,9057,6,BACE1
,,,,,,,,IDS
,,,,,,,,PPP1R8
,,,,,,,,DERL2
,,,,,,,,ERLIN1
,,,,,,,,RPL4
,,,,,,3712,2,TFAP2B
,,,,,,,,MED12L
,,,,,,8134,4,FOXP1
,,,,,,,,SIX1
,,,,,,,,NR4A2
,,,,,,,,NR4A1
,,,,,,785,2,SOS2
,,,,,,,,TCP1
,,,,,,1902494,1,PPP2R2B
