,,,ELEMENT,,,,,,,,,,,,GO-TERM,,,,,,,,,,,,
Gene,Remod,Mediator,ChromMod,Splicing,RNAexport,Translation,Transport,Ubiq-related,Cell cycle,DNA repair,STRING,2000045,16570,6325,16032,51276,70647,9057,3712,8134,71013,785,1902494,1990234,,Gene card functions,Reference DOI:
ARID2,,,,,,,,,,,A,,,,,,,,,,,,,,,SWI/SNF chromatin remodeling complex,10.1074/jbc.M111.279968. 
CBX8,,,,,,,,,,,A,,,,,,,,,,,,,,,"Polycomb group (PcG) multiprotein PRC1-like complex, chromatin remodeling and modification of histones, monoubiquitination of histone H2A 'Lys-119',",10.1093/nar/gky1290
PBRM1,,,,,,,,,,,A,,,,,,,,,,,,,,,SWI/SNF chromatin remodeling complex/numerous DNA repair mechanisms /promoting genome stability ,10.1021/acschembio.7b00541 /10.1016/j.celrep.2014.02.012.
SMARCD2,,,,,,,,,,,A,,,,,,,,,,,,,,,SWI/SNF chromatin remodeling complexes,10.1074/jbc.R111.309302
SMARCE1,,,,,,,,,,,A,,,,,,,,,,,,,,,SWI/SNF chromatin remodeling complexes,10.1074/jbc.R111.309302
XRCC6,,,,,,,,,,,A,,,,,,,,,,,,,,,Single-stranded DNA-dependent ATP-dependent helicase / Involved in DNA non-homologous end joining (NHEJ) / DNA repair,10.1016/j.mrrev.2014.06.002.
ZSWIM8,,,,,,,,,,,A,,,,,,,,,,,,,,,Zinc Finger SWIM-Type Containing 8 / uncertain function,ND
CCNC,,,,,,,,,,,A,,,,,,,,,,,,,,string only,Component of the Mediator complex/The level of mRNAs for this gene peaks in the G1 phase of the cell cycle,10.3390/biology8010003.
CDK19,,,,,,,,,,,A,,,,,,,,,,,,,,string only,one of the components of the Mediator co-activator complex,10.3389/fcell.2018.00171
MED12L,,,,,,,,,,,A,,,,,,,,,,,,,,,component of the Mediator complex,10.1038/nrm.2017.115.
CHD5,,,,,,,,,,,A,,,,,,,,,,,,,,,Chromatin-remodeling protein / chromodomain helicase DNA-binding protein / DNA repair,10.1016/j.mrfmmm.2013.07.008. 
HDAC2,,,,,,,,,,,A,,,,,,,,,,,,,,,deacetylation of lysine residues on the N-terminal part of the core histones , 10.1387/ijdb.150071tz.
HDAC8,,,,,,,,,,,A,,,,,,,,,,,,,,,deacetylation of lysine residues on the N-terminal part of the core histones / a major 'epigenetic player' ,10.1016/j.tips.2015.04.013.
RB1,,,,,,,,,,,A,,,,,,,,,,,,,,,entry into cell division/ acts as a tumor suppressor/Directly involved in heterochromatin formation /Recruits and targets histone methyltransferases / recruiting a histone deacetylase (HDAC) complex,10.1016/j.jaut.2016.05.012
RBL2,,,,,,,,,,,A,,,,,,,,,,,,,,,Key regulator of entry into cell division/Directly involved in heterochromatin formation /Recruits and targets histone methyltransferases ,PMID: 12225593
TBL1XR1,,,,,,,,,,,A,,,,,,,,,,,,,,,nuclear receptor corepressor (N-CoR) and histone deacetylase 3 (HDAC 3) complexes / recruitment of the ubiquitin/19S proteasome complex,PMC4446378
UBN1,,,,,,,,,,,A,,,,,,,,,,,,,,,Acts as a novel regulator of senescence / HIRA complex/ Adds histone H3.3to nucleosomes - remodelling replacement,10.1186/s12915-018-0573-9.
PHF12,,,,,,,,,,,A,,,,,,,,,,,,,,,recruitment of functional SIN3A complexes / histone deacetylase (HDAC),10.1128/MCB.21.13.4110-4118.2001
CDC40,,,,,,,,,,,A,,,,,,,,,,,,,,,Associates with the spliceosome /second step of pre-mRNA splicing/ control cell cycle through splicing of intron-containing pre-mRNAs that encode proteins important for cell cycle progression.,10.1007/s00294-006-0113-y
DHX8,,,,,,,,,,,A,,,,,,,,,,,,,,,Involved in pre-mRNA splicing as component of the spliceosome/ Facilitates nuclear export of spliced mRNA by releasing the RNA from the spliceosome ,10.1016/j.cell.2016.01.025.
HNRNPH1,,,,,,,,,,,A,,,,,,,,,,,,,,,Mediates pre-mRNA alternative splicing regulation.,10.1261/rna.036715.112.
PRPF19,,,,,,,,,,,A,,,,,,,,,,,,,,,Ubiquitin-protein ligase / part of the spliceosome / DNA repair,10.1101/gad.1925010
SF3A1,,,,,,,,,,,A,,,,,,,,,,,,,,,splicing factor,10.1101/gad.248625.114.
SNRNP200,,,,,,,,,,,A,,,,,,,,,,,,,,,RNA helicase that plays an essential role in pre-mRNA splicing ,10.1042/BST0381105.
XAB2,,,,,,,,,,,A,,,,,,,,,,,,,,,"Involved in pre-mRNA splicing as component of the spliceosome / transcription-coupled repair /plays critical role in processes including transcription, transcription-coupled DNA repair, pre-mRNA splicing, homologous recombination and mRNA export./mitotic cell cycle regulation",10.1074/jbc.M004936200  /  10.1038/cddis.2016.313.
DHX9,,,,,,,,,,,A,,,,,,,,,,,,,,,"DNA replication, transcriptional activation, post-transcriptional RNA regulation, mRNA translation and RNA-mediated gene silencing/Plays a role in DNA replication at origins of replication and cell cycle progression /promotes pre-mRNA alternative/  splicing activities/ a role in mRNA translation",10.18632/oncotarget.8446.
U2SURP,,,,,,,,,,,A,,,,,,,,,,,,,,String only,link the activity of the spliceosome to the regulation of downstream RNA-binding proteins,10.1016/j.celrep.2018.09.041.
KIF5C,,,,,,,,,,,A,,,,,,,,,,,,,,String only,transport of cargo within the central nervous system. Vesicle associated,10.1007/s00018-009-0253-6.
RAE1,,,,,,,,,,,A,,,,,,,,,,,,,,,involved in RNA export / nucleocytoplasmic transport,10.1016/j.cell.2005.04.003
FCF1,,,,,,,,,,,A,,,,,,,,,,,,,,String only,pre-rRNA processing and 40S ribosomal subunit assembly.,10.1016/j.bbrc.2006.05.140
RPL4,,,,,,,,,,,A,,,,,,,,,,,,,,,a ribosomal protein that is a component of the 60S subunit,
SENP3,,,,,,,,,,,A,,,,,,,,,,,,,,,Protease that releases SUMO2 and SUMO3 monomers from sumoylated substrates, 10.1002/iub.113.
TEX10,,,,,,,,,,,A,,,,,,,,,,,,,,,component of the Five Friends of Methylated CHTOP (5FMC) complex,10.1074/mcp.M112.017194
AP1B1,,,,,,,,,,,A,,,,,,,,,,,,,,,at the cytoplasmic face of coated vesicles located at the Golgi complex/role in protein sorting in the late-Golgi/trans-Golgi network (TGN) and/or endosomes. ,10.1371/journal.pone.0060866.
AP2A1,,,,,,,,,,,A,,,,,,,,,,,,,,,Adaptor protein complexes function in protein transport via transport vesicles in different membrane traffic pathways./nvolved in cargo selection and vesicle formation. / clathrin-dependent endocytosis /binds polyphosphoinositide-containing lipids,10.1111/cpr.12522.
AP2S1,,,,,,,,,,,A,,,,,,,,,,,,,,,Adaptor protein complexes function in protein Transport via Transport vesicles in different membrane traffic pathways./ involved in cargo selection and vesicle formation,PMID: 7593184
